what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1386314042466
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1386314042469
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1386314042470
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1386314042472
os,sysinfo,,,"macosx",1386314042476
arch,sysinfo,,,"x86",1386314042476
ws,sysinfo,,,"cocoa",1386314042476
locale,sysinfo,,,"en_US",1386314042476
processors,sysinfo,,,"2",1386314042476
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1386314042476
java.runtime.version,sysinfo,,,"1.6.0_65-b14-462-11M4609",1386314042476
java.specification.name,sysinfo,,,"Java Platform API Specification",1386314042476
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1386314042476
java.specification.version,sysinfo,,,"1.6",1386314042476
java.vendor,sysinfo,,,"Apple Inc.",1386314042476
java.version,sysinfo,,,"1.6.0_65",1386314042476
java.vm.info,sysinfo,,,"mixed mode",1386314042476
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1386314042476
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1386314042476
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1386314042476
java.vm.specification.version,sysinfo,,,"1.0",1386314042476
java.vm.vendor,sysinfo,,,"Apple Inc.",1386314042476
java.vm.version,sysinfo,,,"20.65-b04-462",1386314042476
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1386314043495
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386314044526
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386314047136
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386314054377
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386314089575
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1386314089668
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386314090708
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386318868284
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386318870569
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386318872046
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386318872360
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1386318872974
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1386318873174
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1386318873179
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.304.v201101251958,"org.eclipse.wst.xsd.ui",1386318873187
stopped,bundle,org.eclipse.emf.edit.ui,2.6.0.v20100914-1218,"org.eclipse.emf.edit.ui",1386318873190
stopped,bundle,org.eclipse.wst.common.snippets,1.2.2.v201101130441,"org.eclipse.wst.common.snippets",1386318873196
stopped,bundle,org.eclipse.gef,3.6.2.v20110110-2020,"org.eclipse.gef",1386318873199
stopped,bundle,org.eclipse.emf.common.ui,2.6.0.v20100914-1218,"org.eclipse.emf.common.ui",1386318873201
stopped,bundle,org.eclipse.epp.mpc.ui,1.0.1.v20100826-2143,"org.eclipse.epp.mpc.ui",1386318873204
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1386318873206
stopped,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1386318873206
stopped,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1386318873211
stopped,bundle,org.eclipse.equinox.security.ui,1.0.200.v20100503,"org.eclipse.equinox.security.ui",1386318873215
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1386318873217
